Comment,Designator,Footprint,LCSC,Quantity
2k,R16,R0603,,1
470,R5,R0603,,1
5.1k,R3,R0603,,1
100pF,C25,C0603,,1
150pF,C18,C0603,,1
2k,R14,R0603,,1
100pF,C24,C0603,,1
100,R25,R0603,,1
120R,FB2,Ferrite_0603_1608Metric,,1
100,R7,R0603,,1
120R,FB3,Ferrite_0603_1608Metric,,1
100nF,C9,C0603,,1
4.7k,R28,R0603,,1
500mA,F1,Fuse_0603_1608Metric,,1
10k,R8,R0603,,1
10uF,C27,C0603,,1
100nF,C30,C0603,,1
470,R4,R0603,,1
12pF,C1,C0603,,1
100nF,C13,C0603,,1
SGM3204YN6G_TR,PS1,SOT95P280X125-6N,,1
OPA1678,U4,SOIC-8_3.9x4.9mm_P1.27mm,,1
100pF,C22,C0603,,1
13k,R11,R0603,,1
10uF,C14,C0603,,1
100nF,C33,C0603,,1
100nF,C31,C0603,,1
10uF,C4,C0603,,1
100pF,C23,C0603,,1
150pF,C17,C0603,,1
13k,R21,R0603,,1
10uF,C7,C0603,,1
~,PJ1,PJ327A,,1
10uF,C12,C0603,,1
3k,R23,R0603,,1
3k,R22,R0603,,1
100nF,C5,C0603,,1
2k,R12,R0603,,1
100,R24,R0603,,1
13k,R20,R0603,,1
150pF,C19,C0603,,1
100nF,C29,C0603,,1
100nF,C11,C0603,,1
Power,D3,LED.0603,,1
120R,FB1,Ferrite_0603_1608Metric,,1
10uF,C10,C0603,,1
3k,R13,R0603,,1
4.7k,R27,R0603,,1
10k,R26,R0603,,1
2k,R10,R0603,,1
5.1k,R2,R0603,,1
13k,R9,R0603,,1
RST,SW1,小龟轻触开关3_4_22.0MM,,1
12pF,C2,C0603,,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,1
470,R6,R0603,,1
2.2uF,C6,C0603,,1
10k,R18,R0603,,1
100nF,C32,C0603,,1
2.2uF,C26,C0603,,1
10uF,C16,C0603,,1
ME6210A33M3G,U2,SOT-23,,1
10k,R1,R0603,,1
8M,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
100nF,C8,C0603,,1
10uF,C15,C0603,,1
100nF,C28,C0603,,1
CH32V305FBP6,U1,TSSOP-20_4.4x6.5mm_P0.65mm,,1
3k,R15,R0603,,1
150pF,C20,C0603,,1
10uF,C3,C0603,,1
ES9018K2M,IC1,QFN50P500X500X90-29N-D,,1
OPA1678,U3,SOIC-8_3.9x4.9mm_P1.27mm,,1
LP5907MFX-3.3,U5,SOT-23-5,,1
10uF,C34,C0603,,1
100nF,C38,C0603,,1
18k,R29,R0603,,1
4.7,R31,R0603,,1
100uF,C36,CP_Elec_5x5.4,,1
SGM3204YN6G_TR,PS2,SOT95P280X125-6N,,1
10k,R33,R0603,,1
0,R19,R0603,,1
100uF,C35,CP_Elec_5x5.4,,1
120R,FB4,Ferrite_0603_1608Metric,,1
0,R34,R0603,,1
sgm8262,U7,SOIC-8_3.9x4.9mm_P1.27mm,,1
10uF,C37,C0603,,1
10uF,C42,C0603,,1
4.7,R32,R0603,,1
10k,R30,R0603,,1
100nF,C21,C0603,,1
~,PJ2,PJ327A,,1
1M,R17,R0603,,1
SWD,J2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,,1
10uF,C39,C0603,,1
10uF,C40,C0603,,1
2.2uF,C43,C0603,,1
2.2uF,C41,C0603,,1
